claim_id,kind,label,caption,path,line,status
CLAIM-0001,definition,,\begin{definition}[Anti-holographic map],main_revtex.tex,97,asserted-only
CLAIM-0002,definition,,\begin{definition}[Anti-holographic map],main_revtex.tex,175,asserted-only
CLAIM-0003,theorem,thm:existence,\begin{theorem}[Existence of anti-holographic embeddings],main_revtex.tex,202,asserted-only
CLAIM-0004,proof,,\begin{proof},main_revtex.tex,209,proof-block-present
CLAIM-0005,proof,sec:model,\begin{proof},main_revtex.tex,238,proof-block-present
CLAIM-0006,proof,sec:numerics,\begin{proof},main_revtex.tex,284,proof-block-present
CLAIM-0007,definition,def:antiholo,\begin{definition}[Anti-holographic map],main_revtex_clean.tex,124,asserted-only
CLAIM-0008,definition,,\begin{definition}[Entanglement skeleton],main_revtex_clean.tex,168,asserted-only
CLAIM-0009,theorem,thm:existence,\begin{theorem}[Existence of anti-holographic embeddings],main_revtex_clean.tex,179,asserted-only
CLAIM-0010,proof,,\begin{proof},main_revtex_clean.tex,194,proof-block-present
CLAIM-0011,corollary,cor:interpolation,\begin{corollary},main_revtex_clean.tex,227,asserted-only
CLAIM-0012,definition,,\begin{definition}[Anti-holographic map],main_revtex_final.tex,91,asserted-only
CLAIM-0013,theorem,thm:existence,\begin{theorem}[Existence of anti-holographic embeddings],main_revtex_final.tex,118,asserted-only
CLAIM-0014,proof,sec:model,\begin{proof},main_revtex_final.tex,125,proof-block-present
CLAIM-0015,definition,,\begin{definition}[Anti-holographic map],main_revtex_new.tex,89,asserted-only
CLAIM-0016,theorem,thm:existence,\begin{theorem}[Existence of anti-holographic embeddings],main_revtex_new.tex,116,asserted-only
CLAIM-0017,proof,,\begin{proof},main_revtex_new.tex,123,proof-block-present
CLAIM-0018,proof,sec:model,\begin{proof},main_revtex_new.tex,155,proof-block-present
CLAIM-0019,proof,sec:numerics,\begin{proof},main_revtex_new.tex,202,proof-block-present
CLAIM-0020,definition,eq:anti_holographic_condition,\begin{definition}[Anti-Holographic Information Flow],manuscripts/anti_holographic_theory/manuscript.tex,122,asserted-only
CLAIM-0021,definition,def:reality,\begin{definition}[Reality Space],manuscripts/ciir/manuscript.tex,166,asserted-only
CLAIM-0022,definition,def:constraint,\begin{definition}[Constraint Manifold],manuscripts/ciir/manuscript.tex,173,asserted-only
CLAIM-0023,definition,def:cognitive,\begin{definition}[Cognitive State Space],manuscripts/ciir/manuscript.tex,185,asserted-only
CLAIM-0024,definition,def:interface,\begin{definition}[Interface Map],manuscripts/ciir/manuscript.tex,198,asserted-only
CLAIM-0025,definition,def:observable,\begin{definition}[Observable Algebra],manuscripts/ciir/manuscript.tex,214,asserted-only
CLAIM-0026,definition,def:subspace,\begin{definition}[Constraint-Image Subspace],manuscripts/ciir/manuscript.tex,225,asserted-only
CLAIM-0027,definition,def:calg,\begin{definition}[Constraint Operator Algebra],manuscripts/ciir/manuscript.tex,307,asserted-only
CLAIM-0028,proposition,prop:commutation,\begin{proposition}[Constraint Commutation Relations],manuscripts/ciir/manuscript.tex,315,asserted-only
CLAIM-0029,proof,,\begin{proof},manuscripts/ciir/manuscript.tex,329,proof-block-present
